Temperature,Pressure,Humidity,Dew point,Wind speed,Rainfall
18,1014,56,9,0,0
17,1014,55,8,0,0
17,1014,55,8,0,0
15,1013,59,7,0,0
15,1013,59,7,0,0
14,1013,63,7,0,0
15,1014,59,7,7.4,0
18,1014,49,7,9.3,0
22,1015,41,8,7.4,0
24,1014,36,8,14.8,0
26,1013,30,7,14.8,0
28,1012,25,6,22.2,0
29,1012,22,5,14.8,0
29,1011,20,4,18.5,0
29,1011,20,4,22.2,0
27,1011,24,5,5.6,0
23,1011,33,6,0,0
21,1011,40,7,0,0
18,1012,56,9,0,0
19,-9999,49,8,0,0
18,1012,49,7,0,0
17,1011,48,6,0,0
16,1011,55,7,0,0
15,1011,59,7,0,0
14,1011,67,8,0,0
14,1011,63,7,0,0
14,1012,63,7,0,0
15,1012,59,7,0,0
18,1013,49,7,0,0
19,1014,40,5,0,0
24,1014,34,7,0,0
27,1014,28,7,9.3,0
28,1014,21,4,5.6,0
29,1012,20,4,14.8,0
30,1011,17,2,5.6,0
28,1011,17,1,9.3,0
29,1011,18,2,9.3,0
22,1012,38,7,0,0
20,1013,43,7,9.3,0
20,1013,40,6,7.4,0
20,1013,37,5,5.6,0
19,1013,43,6,0,0
20,1013,37,5,0,0
18,1013,49,7,0,0
17,1013,59,9,9.3,0
16,1012,63,9,7.4,0
16,1013,63,9,3.7,0
16,1013,55,7,7.4,0
21,1014,38,6,7.4,0
24,1015,31,6,7.4,0
26,1015,28,6,0,0
28,1014,23,5,7.4,0
30,1014,20,5,7.4,0
30,1013,19,4,0,0
31,1012,18,4,7.4,0
31,1010,19,5,0,0
30,1011,20,5,5.6,0
28,1010,25,6,5.6,0
25,1011,34,8,0,0
24,-9999,36,8,0,0
23,1011,38,8,0,0
22,1011,38,7,5.6,0
22,1012,41,8,5.6,0
21,1012,49,10,5.6,0
21,1012,49,10,5.6,0
19,1012,56,10,0,0
20,1011,52,10,7.4,0
20,1011,52,10,7.4,0
18,1011,68,12,0,0
17,1011,72,12,0,0
19,1011,60,11,7.4,0
21,1013,56,12,0,0
25,1013,44,12,0,0
25,1013,41,11,11.1,0
26,1013,39,11,7.4,0
28,1012,32,10,9.3,0
34,1011,23,10,5.6,0
28,1011,37,12,5.6,0
28,1011,35,11,7.4,0
25,1011,47,13,0,0
21,1013,60,13,0,0
21,1013,60,13,0,0
21,1013,60,13,0,0
20,1013,64,13,0,0
23,1013,53,13,0,0
20,1014,64,13,0,0
20,1014,64,13,0,0
21,1015,60,13,0,0
22,1018,57,13,9.3,0
25,1018,36,9,0,0
26,1017,36,10,7.4,0
27,1016,32,9,13,0
28,1016,25,6,22.2,0
28,1016,26,7,9.3,0
28,1016,25,6,13,0
27,1016,26,6,11.1,0
24,1016,36,8,0,0
21,1017,43,8,0,0
19,1018,49,8,0,0
19,1018,52,9,0,0
14,1018,67,8,0,0
14,1018,67,8,0,0
14,1019,67,8,0,0
14,1020,63,7,9.3,0
15,1021,59,7,11.1,0
22,1021,41,8,11.1,0
23,1021,38,8,22.2,0
25,1020,36,9,18.5,0
26,1019,26,5,18.5,0
24,1018,29,5,11.1,0
22,1019,38,7,9.3,0
19,1019,52,9,3.7,0
17,1019,59,9,3.7,0
16,1019,59,8,7.4,0
15,1019,63,8,5.6,0
14,1019,63,7,5.6,0
14,1018,63,7,7.4,0
13,1018,67,7,7.4,0
12,1017,72,7,5.6,0
12,1017,67,6,9.3,0
11,1017,67,5,13,0
11,1017,62,4,13,0
12,1018,58,4,11.1,0
15,1019,45,3,18.5,0
17,1019,39,3,18.5,0
19,1019,32,2,18.5,0
24,1017,19,-1,22.2,0
25,1016,19,0,22.2,0
25,1015,21,1,24.1,0
25,1015,21,1,20.4,0
22,-9999,27,2,7.4,0
17,1017,37,2,0,0
16,1017,39,2,11.1,0
15,-9999,42,2,9.3,0
14,1017,44,2,7.4,0
14,1017,44,2,0,0
11,1016,58,3,0,0
11,1016,58,3,0,0
10,1016,58,2,5.6,0
11,1017,62,4,5.6,0
11,1018,58,3,5.6,0
14,1019,44,2,9.3,0
18,1019,37,3,9.3,0
21,1019,31,3,5.6,0
23,1018,27,3,9.3,0
25,1017,19,0,11.1,0
25,1016,19,0,9.3,0
26,1016,17,-1,14.8,0
25,1016,18,-1,7.4,0
24,1016,22,1,5.6,0
22,1017,27,2,0,0
18,1017,37,3,0,0
17,1018,42,4,0,0
17,1018,39,3,0,0
12,1017,62,5,0,0
13,1018,51,3,0,0
15,1019,39,1,0,0
17,1020,39,3,0,0
22,1020,29,3,0,0
25,1020,22,2,0,0
28,1016,16,0,0,0
25,1016,28,5,0,0
21,1017,38,6,0,0
21,1017,38,6,5.6,0
20,1017,40,6,5.6,0
19,1017,37,4,5.6,0
18,-9999,40,4,5.6,0
17,1017,42,4,3.7,0
16,1017,45,4,0,0
17,1017,42,4,7.4,0
15,-9999,51,5,7.4,0
17,1016,52,7,9.3,0
16,-9999,42,3,5.6,0
16,1017,42,3,9.3,0
17,1018,39,3,9.3,0
19,1019,35,3,11.1,0
20,1019,37,5,11.1,0
24,1018,24,2,16.7,0
25,1017,28,5,14.8,0
25,1016,24,3,18.5,0
25,1016,26,4,13,0
25,1015,24,3,16.7,0
23,1015,33,6,7.4,0
19,1016,40,5,9.3,0
17,1016,52,7,11.1,0
17,1017,55,8,16.7,0
16,1017,63,9,11.1,0
17,1017,59,9,9.3,0
16,1017,63,9,11.1,0
16,1016,63,9,14.8,0
16,1015,72,11,13,0
15,-9999,77,11,14.8,0
17,1015,68,11,16.7,0
17,1016,72,12,14.8,0
17,1016,72,12,14.8,0
17,1018,72,12,11.1,0
22,1019,60,14,0,0
19,-9999,68,13,9.3,0
22,1020,50,11,14.8,0
23,1019,53,13,11.1,0
25,1017,44,12,9.3,0
25,1016,44,12,14.8,0
23,1016,50,12,5.6,0
22,1016,57,13,5.6,0
21,1016,60,13,5.6,0
20,1017,68,14,0,0
21,1017,64,14,0,0
20,1018,68,14,0,0
20,1018,64,13,0,0
19,1018,56,10,3.7,0
19,1018,52,9,5.6,0
17,1017,63,10,0,0
16,1016,68,10,0,0
14,1016,77,10,0,0
14,1016,72,9,0,0
14,1018,72,9,5.6,0
15,1018,63,8,5.6,0
15,1019,63,8,11.1,0
16,1019,63,9,7.4,0
19,1019,60,11,7.4,0
23,1017,53,13,11.1,0
25,1016,47,13,3.7,0
25,1016,44,12,0,0
25,1015,41,11,5.6,0
20,1015,64,13,5.6,0
19,1016,68,13,0,0
19,1016,64,12,3.7,0
19,1017,64,12,3.7,0
15,1016,55,6,0,0
11,1015,71,6,0,0
12,1017,62,5,0,0
12,1017,72,7,0,0
16,1017,48,5,9.3,0
19,1017,40,5,9.3,0
23,1014,29,4,9.3,0
21,1014,35,5,5.6,0
19,1014,40,5,7.4,0
16,1015,52,6,0,0
15,1016,59,7,0,0
13,1016,67,7,0,0
13,1016,67,7,0,0
13,1016,63,6,0,0
12,1016,67,6,0,0
12,1016,67,6,0,0
12,1017,67,6,0,0
14,1018,59,6,3.7,0
17,1018,48,6,5.6,0
19,1018,40,5,9.3,0
20,1017,43,7,7.4,0
21,1016,35,5,11.1,0
22,1015,33,5,18.5,0
23,1014,33,6,18.5,0
22,1014,31,4,14.8,0
21,1014,38,6,5.6,0
19,1014,43,6,9.3,0
17,1015,52,7,0,0
16,1015,55,7,0,0
15,1015,59,7,0,0
15,1015,55,6,0,0
14,1015,63,7,0,0
14,1015,63,7,3.7,0
13,1016,63,6,3.7,0
12,1015,67,6,0,0
12,1015,67,6,0,0
11,1014,67,5,0,0
10,1014,76,6,0,0
10,1015,76,6,0,0
11,-9999,71,6,3.7,0
12,-9999,72,7,0,0
13,-9999,63,6,5.6,0
16,1017,55,7,13,0
19,1016,52,9,9.3,0
21,1016,38,6,18.5,0
22,1015,38,7,5.6,0
24,1014,31,6,18.5,0
24,1013,29,5,16.7,0
24,1013,27,4,18.5,0
22,1013,31,4,13,0
19,1013,37,4,3.7,0
17,1014,45,5,0,0
15,1013,51,5,0,0
13,1013,58,5,0,0
14,1013,51,4,5.6,0
12,1013,62,5,0,0
12,1013,62,5,0,0
11,1013,67,5,0,0
11,1013,62,4,0,0
12,1014,58,4,0,0
15,1015,51,5,7.4,0
17,1016,42,4,9.3,0
20,1016,37,5,11.1,0
22,1015,33,5,7.4,0
24,1013,27,4,13,0
24,1013,27,4,18.5,0
25,1012,26,4,11.1,0
23,1012,29,4,7.4,0
20,1013,37,5,0,0
17,-9999,45,5,0,0
14,-9999,55,5,0,0
12,-9999,62,5,0,0
12,1014,67,6,0,0
13,1014,63,6,0,0
12,-9999,62,5,0,0
17,1017,48,6,0,0
25,1017,29,6,0,0
25,1016,26,4,9.3,0
27,1015,23,4,5.6,0
27,1014,24,5,7.4,0
27,1014,23,4,0,0
28,1013,23,5,0,0
24,1013,36,8,0,0
21,1014,43,8,0,0
19,1014,49,8,0,0
17,1014,52,7,0,0
17,1014,55,8,0,0
15,1014,63,8,0,0
15,1014,59,7,0,0
14,1014,63,7,0,0
14,1014,63,7,0,0
13,1014,67,7,0,0
14,1015,63,7,0,0
20,1017,49,9,0,0
23,1016,33,6,0,0
25,1015,32,7,5.6,0
25,1014,28,5,5.6,0
25,1014,28,5,5.6,0
17,1014,59,9,0,0
16,1014,63,9,0,0
16,1014,59,8,0,0
15,1014,63,8,0,0
15,1014,63,8,0,0
14,1014,67,8,0,0
13,-9999,72,8,0,0
14,-9999,67,8,0,0
13,1014,72,8,0,0
12,1014,77,8,0,0
13,1015,77,9,0,0
15,1016,63,8,0,0
23,1015,33,6,9.3,0
25,1013,22,2,11.1,0
24,1013,21,0,11.1,0
24,1013,21,0,5.6,0
23,1013,23,1,5.6,0
20,1013,33,3,0,0
17,1014,45,5,0,0
15,1014,51,5,0,0
17,1015,42,4,0,0
17,1015,45,5,0,0
13,1015,58,5,0,0
14,1015,55,5,0,0
14,1015,55,5,0,0
10,1015,66,4,0,0
23,1014,16,-4,14.8,0
15,1015,39,1,0,0
12,1016,51,2,0,0
12,1016,51,2,0,0
10,1015,62,3,0,0
10,1015,62,3,0,0
10,1015,62,3,0,0
9,1015,71,4,0,0
9,1016,66,3,0,0
10,1017,66,4,0,0
12,1018,54,3,7.4,0
15,1018,45,3,11.1,0
19,1018,37,4,7.4,0
21,1017,28,2,9.3,0
21,1017,27,1,14.8,0
22,1016,22,-1,24.1,0
22,1015,22,-1,9.3,0
22,1015,22,-1,11.1,0
16,1015,42,3,0,0
14,1016,48,3,0,0
14,1016,51,4,0,0
11,-9999,62,4,0,0
10,1016,66,4,0,0
9,1016,71,4,0,0
10,1016,62,3,5.6,0
9,1016,71,4,0,0
10,1017,58,2,0,0
11,1017,58,3,0,0
12,1018,54,3,5.6,0
15,1019,45,3,7.4,0
18,1018,37,3,11.1,0
20,1017,33,3,7.4,0
21,1016,31,3,11.1,0
22,1015,27,2,7.4,0
21,1015,28,2,0,0
18,1015,40,4,0,0
15,1016,48,4,0,0
14,1016,55,5,0,0
13,1016,58,5,0,0
13,1016,58,5,0,0
11,1016,67,5,0,0
11,1016,67,5,0,0
11,1016,67,5,0,0
9,1016,76,5,0,0
9,1015,82,6,0,0
9,1016,76,5,3.7,0
14,1017,55,5,5.6,0
17,1017,48,6,9.3,0
19,1016,43,6,3.7,0
21,1015,35,5,14.8,0
22,1014,31,4,14.8,0
23,1014,23,1,7.4,0
23,1014,23,1,7.4,0
21,1014,28,2,5.6,0
17,1014,39,3,0,0
16,1014,45,4,0,0
15,1015,48,4,0,0
13,1015,58,5,0,0
14,1015,51,4,0,0
13,1016,58,5,0,0
12,1015,58,4,0,0
12,1015,58,4,0,0
10,1015,66,4,0,0
9,1015,66,3,0,0
10,1015,66,4,0,0
9,1016,71,4,0,0
15,1018,51,5,0,0
15,1019,55,6,3.7,0
23,1016,41,9,0,0
22,1016,38,7,11.1,0
20,1016,52,10,0,0
15,1017,63,8,0,0
12,1016,77,8,0,0
12,1016,77,8,0,0
11,1016,82,8,0,0
11,1016,82,8,0,0
14,1017,67,8,0,0
14,1018,67,8,9.3,0
15,1019,67,9,9.3,0
18,1018,52,8,5.6,0
21,1018,43,8,0,0
22,1017,43,9,7.4,0
23,1016,31,5,9.3,0
24,1015,27,4,7.4,0
24,1015,27,4,5.6,0
23,1014,29,4,0,0
15,1014,55,6,0,0
15,1015,55,6,0,0
13,1015,67,7,0,0
10,1014,76,6,0,0
10,1014,76,6,0,0
19,1017,46,7,0,0
19,1016,46,7,0,0
21,1015,38,6,0,0
21,1014,35,5,0,0
21,1014,38,6,0,0
20,1014,40,6,0,0
19,1014,43,6,7.4,0
16,1014,59,8,0,0
14,1016,63,7,0,0
14,1016,63,7,0,0
13,1016,67,7,0,0
10,1016,71,5,0,0
10,1016,71,5,0,0
10,1016,76,6,0,0
10,1017,76,6,0,0
11,1018,71,6,0,0
12,1019,67,6,0,0
15,1019,51,5,5.6,0
17,1019,39,3,11.1,0
20,1019,35,4,5.6,0
21,1018,31,3,13,0
22,1016,27,2,11.1,0
22,1016,27,2,11.1,0
21,1016,31,3,5.6,0
18,1017,40,4,0,0
16,1017,48,5,0,0
15,1018,48,4,0,0
13,1019,58,5,0,0
14,1019,48,3,3.7,0
12,1019,54,3,0,0
12,1019,58,4,0,0
12,1019,54,3,0,0
11,1018,58,3,0,0
9,1019,62,2,0,0
8,1019,76,4,0,0
8,1019,76,4,0,0
8,1019,71,3,0,0
7,1020,76,3,3.7,0
10,1021,62,3,7.4,0
14,1022,48,3,13,0
16,1022,39,2,14.8,0
18,1022,30,0,22.2,0
20,1021,23,-2,20.4,0
20,1020,21,-3,27.8,0
19,1019,26,-1,14.8,0
15,1019,39,1,9.3,0
14,1020,41,1,3.7,0
12,1020,47,1,3.7,0
12,1020,47,1,5.6,0
10,1021,54,1,5.6,0
9,1021,58,1,7.4,0
9,1020,58,1,5.6,0
7,1019,61,0,5.6,0
7,1019,53,-2,5.6,0
6,-9999,76,2,3.7,0
5,1020,70,0,5.6,0
5,1020,70,0,5.6,0
6,1021,66,0,9.3,0
8,1021,53,-1,9.3,0
12,1022,38,-2,18.5,0
15,1022,29,-3,18.5,0
17,1020,22,-5,22.2,0
19,1019,17,-7,33.3,0
19,1018,17,-7,29.6,0
19,1018,17,-7,25.9,0
17,1017,20,-6,18.5,0
16,1017,25,-4,14.8,0
12,1017,35,-3,7.4,0
11,1017,41,-2,5.6,0
10,1017,47,-1,3.7,0
9,1017,46,-2,3.7,0
7,1018,57,-1,5.6,0
7,1017,57,-1,7.4,0
7,1017,53,-2,9.3,0
5,1017,61,-2,7.4,0
5,1017,61,-2,5.6,0
5,1017,61,-2,7.4,0
5,1017,57,-3,7.4,0
4,1018,65,-2,7.4,0
6,1018,57,-2,11.1,0
9,1019,46,-2,14.8,0
13,1019,25,-7,25.9,0
16,1019,23,-5,29.6,0
18,1018,19,-6,33.3,0
18,1017,19,-6,25.9,0
19,1016,19,-5,22.2,0
20,1016,18,-5,22.2,0
19,1016,19,-5,18.5,0
18,1016,21,-5,18.5,0
15,1016,29,-3,5.6,0
10,1017,47,-1,7.4,0
9,1017,58,1,0,0
9,1018,50,-1,0,0
7,1018,53,-2,7.4,0
8,1017,53,-1,0,0
7,1017,57,-1,0,0
7,1016,57,-1,0,0
6,1016,57,-2,0,0
4,1016,65,-2,0,0
4,1017,61,-3,0,0
5,1018,57,-3,7.4,0
7,1019,49,-3,9.3,0
12,1019,38,-2,13,0
14,1019,33,-2,11.1,0
17,1019,26,-3,14.8,0
19,1018,21,-4,13,0
20,1017,40,6,14.8,0
21,1016,15,-7,16.7,0
18,1016,18,-7,11.1,0
17,1016,22,-5,13,0
13,1017,31,-4,0,0
12,1017,38,-2,0,0
10,1017,47,-1,0,0
9,1017,50,-1,0,0
8,1018,53,-1,0,0
8,1017,53,-1,0,0
8,1017,53,-1,0,0
6,1017,61,-1,0,0
6,1017,57,-2,0,0
5,1017,61,-2,0,0
5,1018,57,-3,0,0
5,1019,57,-3,3.7,0
6,1019,53,-3,7.4,0
20,1017,23,-2,9.3,0
21,1016,21,-2,11.1,0
21,1016,20,-3,13,0
16,1016,34,0,3.7,0
13,1016,44,1,0,0
12,1017,47,1,0,0
11,1017,50,1,0,0
10,1017,54,1,0,0
9,1017,58,1,0,0
8,1017,62,1,0,0
7,1017,66,1,5.6,0
6,1017,70,1,0,0
6,1018,70,1,0,0
6,1018,66,0,0,0
6,1019,70,1,0,0
9,1020,54,0,7.4,0
13,1020,41,0,5.6,0
18,1019,28,-1,5.6,0
20,1018,23,-2,3.7,0
21,1016,21,-2,7.4,0
15,1017,39,1,0,0
13,1013,38,-1,0,0
11,1018,50,1,0,0
10,1018,54,1,0,0
8,1017,62,1,0,0
7,1017,66,1,0,0
6,1017,66,0,3.7,0
6,1018,87,4,0,0
8,1019,66,2,11.1,0
10,1020,54,1,9.3,0
12,1020,51,2,9.3,0
16,1020,42,3,11.1,0
17,1019,39,3,13,0
19,1018,35,3,11.1,0
20,1017,30,2,13,0
21,1017,27,1,13,0
21,1016,27,1,7.4,0
19,1016,32,2,5.6,0
16,1016,39,2,3.7,0
14,1016,48,3,0,0
12,1017,58,4,0,0
12,1017,54,3,0,0
10,1017,62,3,0,0
9,1017,71,4,0,0
7,1017,76,3,0,0
7,-9999,76,3,0,0
8,1017,71,3,3.7,0
9,1018,62,2,13,0
12,1018,51,2,13,0
15,1018,45,3,18.5,0
18,-9999,37,3,14.8,0
19,1016,32,2,14.8,0
20,1015,30,2,18.5,0
21,1014,28,2,24.1,0
21,1014,28,2,14.8,0
19,1014,35,3,5.6,0
16,1014,45,4,0,0
13,1014,54,4,0,0
10,1015,66,4,0,0
10,1015,62,3,0,0
8,1014,66,2,0,0
8,1014,71,3,5.6,0
7,1014,71,2,5.6,0
7,1014,66,1,7.4,0
7,1014,57,-1,13,0
6,1014,66,0,5.6,0
5,1014,76,1,3.7,0
6,1015,70,1,5.6,0
9,1016,58,1,13,0
13,-9999,47,2,18.5,0
16,1016,39,2,18.5,0
21,1013,25,0,24.1,0
19,1012,35,3,9.3,0
16,1012,42,3,5.6,0
15,1013,45,3,7.4,0
14,1014,48,3,5.6,0
12,1014,54,3,0,0
12,1014,54,3,0,0
12,1014,51,2,0,0
12,1014,51,2,5.6,0
10,-9999,58,2,0,0
9,1014,62,2,0,0
8,1014,66,2,0,0
8,1015,66,2,0,0
7,1015,61,0,0,0
10,1016,50,0,0,0
12,1017,44,0,5.6,0
17,1017,34,1,5.6,0
20,1017,30,2,9.3,0
21,1016,23,-1,0,0
22,1015,20,-2,3.7,0
23,1015,20,-1,7.4,0
22,1014,23,0,0,0
21,1014,27,1,0,0
15,1015,48,4,0,0
15,1016,48,4,0,0
13,1017,51,3,0,0
13,1017,47,2,0,0
13,1018,44,1,5.6,0
11,1018,54,2,5.6,0
12,1017,47,1,7.4,0
12,1018,44,0,5.6,0
11,-9999,54,2,7.4,0
10,1018,66,4,7.4,0
8,1018,76,4,0,0
8,1018,81,5,0,0
9,1019,76,5,0,0
11,1020,62,4,0,0
17,1020,45,5,0,0
21,1021,33,4,0,0
21,1020,35,5,7.4,0
23,1019,27,3,0,0
23,1019,25,2,5.6,0
23,1017,20,-1,7.4,0
21,1017,28,2,5.6,0
17,1019,52,7,0,0
14,1019,63,7,0,0
13,1019,41,0,0,0
12,1019,67,6,0,0
9,1019,76,5,0,0
9,1018,76,5,0,0
9,1018,82,6,0,0
8,1018,81,5,0,0
9,1018,76,5,0,0
8,1018,87,6,7.4,0
8,1018,81,5,3.7,0
11,1020,62,4,9.3,0
17,1020,45,5,9.3,0
14,1020,55,5,13,0
17,1019,45,5,11.1,0
19,1018,35,3,18.5,0
20,1017,30,2,25.9,0
20,1016,30,2,24.1,0
20,1016,30,2,22.2,0
19,1016,35,3,14.8,0
16,1017,42,3,5.6,0
14,1017,51,4,7.4,0
13,1018,54,4,0,0
11,1019,67,5,0,0
10,1019,71,5,0,0
11,1019,67,5,0,0
10,1019,71,5,0,0
8,1019,81,5,0,0
9,1019,76,5,0,0
8,1019,81,5,0,0
7,1019,87,5,0,0
7,1019,87,5,0,0
7,1019,81,4,0,0
9,1021,66,3,5.6,0
15,1021,51,5,7.4,0
18,1021,42,5,5.6,0
19,1019,37,4,7.4,0
19,1018,37,4,7.4,0
20,1018,37,5,13,0
20,1018,37,5,9.3,0
18,1018,45,6,5.6,0
15,1018,51,5,0,0
14,1018,63,7,0,0
14,1019,55,5,0,0
12,1019,72,7,0,0
10,1019,76,6,0,0
10,1019,71,5,0,0
8,1019,87,6,0,0
9,1019,82,6,0,0
8,1019,87,6,0,0
7,1019,93,6,0,0
7,1020,93,6,0,0
8,1020,87,6,0,0
19,1018,56,10,0,0
19,1018,56,10,9.3,0
17,1018,68,11,0,0
15,1018,77,11,0,0
14,1019,82,11,0,0
13,1019,88,11,0,0
13,1019,88,11,0,0
13,1020,88,11,0,0
13,1020,88,11,0,0
12,1019,88,10,0,0
12,1019,88,10,0,0
10,1019,94,9,0,0
10,1020,94,9,0,0
10,1020,100,10,0,0
10,1021,87,8,0,0
13,1021,82,10,3.7,0
15,1021,72,10,5.6,0
15,1021,72,10,5.6,0
17,1020,48,6,7.4,0
22,1019,50,11,7.4,0
23,1019,41,9,5.6,0
23,1018,44,10,9.3,0
23,1018,47,11,7.4,0
22,1018,50,11,5.6,0
18,1019,64,11,0,0
17,1020,68,11,0,0
18,1020,64,11,0,0
18,1019,59,10,0,0
16,1019,59,8,0,0
15,1019,67,9,0,0
14,1019,72,9,0,0
8,1019,71,3,0,0
7,1020,71,2,0,0
5,1021,87,3,0,0
9,1022,87,7,5.6,0
12,1023,72,7,5.6,0
15,1023,59,7,5.6,0
19,1020,46,7,7.4,0
20,1019,33,3,11.1,0
21,1019,31,3,9.3,0
20,1018,40,6,5.6,0
19,1018,43,6,3.7,0
17,1018,52,7,3.7,0
14,1019,63,7,0,0
14,1019,63,7,0,0
13,1019,63,6,0,0
13,1020,72,8,0,0
11,1020,76,7,0,0
11,1020,71,6,0,0
9,1020,82,6,0,0
9,1019,87,7,0,0
9,-9999,87,7,0,0
9,1019,87,7,0,0
9,1019,82,6,0,0
9,1019,82,6,0,0
10,1020,71,5,3.7,0
11,1020,67,5,0,0
11,1022,62,4,5.6,0
15,1020,55,6,9.3,0
17,1019,48,6,9.3,0
18,1019,52,8,7.4,0
18,1018,56,9,7.4,0
18,1018,56,9,9.3,0
17,1018,59,9,5.6,0
15,1018,67,9,0,0
14,1018,72,9,0,0
13,-9999,77,9,0,0
13,1019,77,9,0,0
11,1020,82,8,0,0
11,1019,82,8,0,0
11,1019,82,8,0,0
10,1019,82,7,0,0
9,1019,87,7,0,0
8,1018,100,8,0,0
8,1018,93,7,0,0
9,1019,87,7,0,0
10,1019,87,8,5.6,0
13,1020,67,7,5.6,0
16,1020,55,7,11.1,0
18,1019,49,7,11.1,0
20,1018,40,6,5.6,0
21,1017,38,6,7.4,0
22,1016,33,5,9.3,0
22,1016,29,3,9.3,0
20,1016,37,5,9.3,0
18,1016,42,5,0,0
14,1018,59,6,0,0
14,1018,59,6,0,0
13,1018,58,5,0,0
13,1018,67,7,0,0
13,1018,67,7,0,0
13,1017,67,7,0,0
12,1017,72,7,0,0
11,1017,67,5,0,0
10,1017,66,4,0,0
10,1016,71,5,0,0
10,1018,87,8,0,0
11,1018,82,8,0,0
16,1079,59,8,0,0
18,1020,56,9,0,0
21,1020,40,7,3.7,0
22,1019,38,7,0,0
23,1018,33,6,11.1,0
22,1017,31,4,7.4,0
22,1017,23,0,7.4,0
21,1017,31,3,0,0
13,1019,88,11,0,0
13,1019,88,11,0,0
13,1018,88,11,0,0
12,1018,94,11,0,0
12,1018,94,11,0,0
11,1018,100,11,0,0
10,1018,100,10,0,0
10,-9999,100,10,0,0
16,1020,77,12,0,0
19,1020,60,11,5.6,0
23,1017,50,12,7.4,0
23,1016,50,12,7.4,0
